Lat,Lon,CDD,HDD
40.672018,-73.929371,1292.430786,4434.958008
40.596506,-73.756296,1104.970337,4602.928711
40.764177,-73.962139,1253.947266,4468.735352
40.608341,-73.953872,1247.323730,4469.472168
40.709557,-73.818677,1145.681641,4583.785156
40.724854,-73.858233,1207.817017,4525.531250
40.874192,-73.837475,1058.876709,4771.130859
40.737519,-73.980766,1299.786743,4421.714355
40.734398,-73.983001,1299.786743,4421.714355
40.901274,-73.906821,1019.952881,4891.804688
40.623397,-74.029317,1274.330444,4446.107910
40.702004,-73.987053,1294.508667,4433.241699
40.630691,-73.943613,1261.567505,4476.884766
40.749305,-73.976299,1299.786743,4421.714355
40.849457,-73.936986,1112.312378,4719.492188
40.653110,-73.950815,1261.567505,4476.884766
40.781809,-73.773350,1083.640869,4665.822266
40.720621,-73.841035,1207.817017,4525.531250
40.749940,-73.985479,1299.786743,4421.714355
40.633386,-73.988355,1272.350342,4478.152832
40.751252,-73.881270,1232.920654,4501.563477
40.744864,-73.994055,1299.786743,4421.714355
40.647620,-73.886807,1213.813477,4511.538574
40.772299,-73.989546,1253.947266,4468.735352
40.717565,-73.996953,1299.786743,4421.714355
40.688417,-73.999955,1294.508667,4433.241699
40.712979,-74.007810,1241.051514,4502.415527
40.876517,-73.908806,1019.952881,4891.804688
40.879556,-73.886185,1019.952881,4891.804688
40.821457,-73.899536,1172.638306,4597.096191
40.907182,-73.896895,1019.952881,4891.804688
40.705487,-73.942026,1292.430786,4434.958008
40.725771,-73.995907,1299.786743,4421.714355
40.617957,-73.963156,1271.081543,4461.968262
40.687992,-73.979610,1294.508667,4433.241699
40.666320,-73.961245,1272.350342,4478.152832
40.755138,-73.972441,1253.947266,4468.735352
40.863911,-73.821961,1049.037598,4767.658203
40.853995,-73.904033,1088.174927,4749.377930
40.671429,-73.925001,1292.430786,4434.958008
40.792195,-73.977099,1173.158813,4598.009766
40.674680,-73.962282,1294.508667,4433.241699
40.751269,-73.988620,1253.947266,4468.735352
40.706345,-73.797545,1135.361328,4580.833984
40.751194,-73.984624,1253.947266,4468.735352
40.731009,-73.867679,1207.817017,4525.531250
40.808742,-73.908213,1172.638306,4597.096191
40.752160,-73.972824,1253.947266,4468.735352
40.889500,-73.914807,1019.952881,4891.804688
40.756392,-73.992366,1253.947266,4468.735352
40.776048,-73.985012,1253.947266,4468.735352
40.716060,-74.009614,1241.051514,4502.415527
40.884472,-73.911087,1019.952881,4891.804688
40.640911,-74.076491,1234.214844,4505.997070
40.846394,-73.833731,1058.876709,4771.130859
40.777496,-73.955505,1271.116577,4458.273926
40.704191,-73.789756,1090.474365,4629.018555
40.826630,-73.945550,1199.753662,4563.494629
40.795887,-73.949499,1199.753662,4563.494629
40.773628,-73.981041,1253.947266,4468.735352
40.778596,-73.962170,1253.947266,4468.735352
40.623787,-74.034239,1274.330444,4446.107910
40.605977,-73.976678,1271.081543,4461.968262
40.618379,-74.039059,1274.330444,4446.107910
40.802122,-73.942922,1199.753662,4563.494629
40.863360,-73.927401,1112.312378,4719.492188
40.588038,-73.956723,1247.323730,4469.472168
40.747151,-73.997966,1299.786743,4421.714355
40.742339,-73.879560,1271.055298,4461.206543
40.721742,-73.839102,1207.817017,4525.531250
40.717647,-73.963052,1299.786743,4421.714355
40.715820,-73.983300,1299.786743,4421.714355
